category,name,sport,title,url
Men,Aaron Droege,Men's Lacrosse ,Acting Assistant AD for Sports Performance,https://towsontigers.com/sports/mens-lacrosse/roster/staff/aaron-droege/4
Men,Connor Lavelle,Men's Lacrosse ,Director of Lacrosse Operations,https://towsontigers.com/sports/mens-lacrosse/roster/staff/connor-lavelle/3
Women,Katherine Vettori,Women's Soccer ,Head Coach,https://towsontigers.com/sports/womens-soccer/roster/coaches/katherine-vettori/2977
Women,Matt Dwyer,Women's Soccer ,Assistant Coach,https://towsontigers.com/sports/womens-soccer/roster/coaches/matt-dwyer/2978
Women,Brad Hartin,Women's Soccer ,Assistant Coach,https://towsontigers.com/sports/womens-soccer/roster/coaches/brad-hartin/2979
Men,Mike Larkin,Men's Golf ,Head Coach,https://towsontigers.com/sports/mens-golf/roster/coaches/mike-larkin/2980
Men,Pat Skerry,Men's Basketball ,Head Coach,https://towsontigers.com/sports/mens-basketball/roster/coaches/pat-skerry/2958
Men,Kevin  Clark,Men's Basketball ,Associate Head Coach,https://towsontigers.com/sports/mens-basketball/roster/coaches/kevin-clark/2957
Men,Pat O'Connell,Men's Basketball ,Assistant Coach,https://towsontigers.com/sports/mens-basketball/roster/coaches/pat-o-connell/2959
Men,Branden McDonald,Men's Basketball ,Assistant Coach,https://towsontigers.com/sports/mens-basketball/roster/coaches/branden-mcdonald/2961
Men,Parfait Bitee,Men's Basketball ,Director of Student-Athlete Development,https://towsontigers.com/sports/mens-basketball/roster/coaches/parfait-bitee/2960
Men,Cooper Calzonetti,Men's Basketball ,Director of Basketball Operations,https://towsontigers.com/sports/mens-basketball/roster/coaches/cooper-calzonetti/2962
Men,Gary Neal,Men's Basketball ,Graduate Manager,https://towsontigers.com/sports/mens-basketball/roster/coaches/gary-neal/2963
Men,Rob Ambrose,Football ,Head Coach,https://towsontigers.com/sports/football/roster/coaches/rob-ambrose/2937
Men,Lyndon Johnson,Football ,Special Teams Coordinator/Safeties,https://towsontigers.com/sports/football/roster/coaches/lyndon-johnson/2940
Men,Eric Daniels,Football ,Defensive Coordinator/Inside Linebackers,https://towsontigers.com/sports/football/roster/coaches/eric-daniels/2946
Men,Brian Scott,Football ,Offensive Line/Run Game Coordinator,https://towsontigers.com/sports/football/roster/coaches/brian-scott/2950
Men,Konstantinos Kosmakos,Football ,Defensive Line,https://towsontigers.com/sports/football/roster/coaches/konstantinos-kosmakos/2938
Men,Tyree Foreman,Football ,Running Backs,https://towsontigers.com/sports/football/roster/coaches/tyree-foreman/2942
Men,Justin Harper,Football ,Wide Receivers,https://towsontigers.com/sports/football/roster/coaches/justin-harper/2943
Men,Collin Bauer,Football ,Outside Linebackers/Recruiting Coordinator,https://towsontigers.com/sports/football/roster/coaches/collin-bauer/2936
Men,Nate Brown,Football ,Cornerbacks,https://towsontigers.com/sports/football/roster/coaches/nate-brown/2947
Men,William Lang,Football ,Tight Ends/Fullbacks,https://towsontigers.com/sports/football/roster/coaches/william-lang/2948
Men,Lance  Yaniger,Football ,Director of Football Operations,https://towsontigers.com/sports/football/roster/coaches/lance-yaniger/2939
Men,Leigha Presley,Football ,Video Coordinator,https://towsontigers.com/sports/football/roster/coaches/leigha-presley/2944
Men,"Justin Lima, PhD",Football ,Director of Football Performance,https://towsontigers.com/sports/football/roster/coaches/justin-lima-phd/2949
